"BACT_628","Helicobacter hepaticus ATCC 51449"
"BACT_699","Leptothrix cholodnii SP-6"
"BACT_1513","Streptococcus oralis ATCC 35037"
"BACT_220","Bifidobacterium longum subsp. infantis CCUG 52486 "
"BACT_1292","Acidovorax avenae subsp. avenae ATCC 19860"
"BACT_800","Natranaerobius thermophilus JW/NM-WN-LF"
"BACT_15","Acidothermus cellulolyticus 11B"
"BACT_1622","Rhodobacter capsulatus SB 1003"
"BACT_749","Methylobacterium extorquens AM1"
"BACT_1283","Zymomonas mobilis subsp. mobilis NCIB 11163"
"BACT_1106","Streptococcus agalactiae H36B "
"BACT_669","Lactobacillus gasseri 202-4 "
"BACT_1394","Frankia sp. EuI1c"
"BACT_1347","Edwardsiella tarda ATCC 23685"
"BACT_40","Actinomyces urogenitalis DSM 15434 "
"BACT_1253","Wolbachia endosymbiont of Muscidifurax uniraptor"
"BACT_815","Nitrobacter hamburgensis X14"
"BACT_268","Burkholderia cenocepacia MC0-3"
"BACT_664","Lactobacillus coleohominis 101-4-CHN "
"BACT_1033","Salmonella enterica subsp. enterica serovar Agona str. SL483"
"BACT_1169","Teredinibacter turnerae T7901"
"BACT_1486","Staphylococcus aureus A10102"
"BACT_676","Lactobacillus jensenii 27-2-CHN"
"BACT_534","Escherichia sp. 4_1_40B "
"BACT_532","Escherichia fergusonii ATCC 35469"
"BACT_608","Gluconacetobacter xylinus NBRC 3288 "
"BACT_877","Photobacterium profundum SS9 "
"BACT_85","Arthrospira maxima CS-328"
"BACT_1362","Escherichia coli B088"
"BACT_331","Carnobacterium sp. AT7 "
"BACT_1332","Candidatus Poribacteria sp. WGA-A3"
"BACT_1146","Sulfurovum sp. NBC37-1"
"BACT_1176","Thermoanaerobacter mathranii subsp. mathranii str. A3"
"BACT_505","Elusimicrobium minutum Pei191"
"BACT_1546","Arcobacter nitrofigilis DSM 7299"
"BACT_184","Bacteroides sp. 1_1_6 "
"BACT_116","Bacillus cereus BDRD-ST196"
"BACT_652","Kingella oralis ATCC 51147 "
"BACT_1337","Clostridium difficile NAP08"
"BACT_1466","Pseudomonas savastanoi pv. savastanoi NCPPB 3335"
"BACT_547","Fervidobacterium nodosum Rt17-B1"
"BACT_1571","Coraliomargarita akajimensis DSM 45221"
"BACT_283","Caldicellulosiruptor saccharolyticus DSM 8903"
"BACT_132","Bacillus cereus Rock1-3 "
"BACT_1072","Shuttleworthia satelles DSM 14600 "
"BACT_898","Prevotella veroralis F0319 "
"BACT_245","Bradyrhizobium sp. ORS278"
"BACT_645","Janibacter sp. HTCC2649 "
"BACT_23","Acinetobacter baumannii AYE"
"BACT_1445","Parachlamydia acanthamoebae str. Hall's coccus"
"BACT_1584","Erwinia amylovora CFBP1430"
"BACT_1142","Sulfurihydrogenibium sp. YO3AOP1"
"BACT_1413","Lactobacillus gasseri 224-1"
"BACT_1516","Streptococcus pneumoniae str. Canada MDR_19F"
"BACT_688","Lactococcus lactis subsp. lactis Il1403"
"BACT_167","Bacillus thuringiensis serovar tochigiensis BGSC 4Y1"
"BACT_625","Helicobacter bilis ATCC 43879"
"BACT_719","Loktanella vestfoldensis SKA53 "
"BACT_922","Pseudomonas entomophila L48"
"BACT_913","Proteus penneri ATCC 35198 "
"BACT_552","Flavobacteria bacterium MS024-3C "
"BACT_160","Bacillus thuringiensis serovar kurstaki str. T03a001"
"BACT_936","Pseudomonas syringae pv. syringae B728a"
"BACT_780","Mycobacterium smegmatis str. MC2 155"
"BACT_1496","Staphylococcus aureus subsp. aureus C101"
"BACT_89","Atopobium parvulum DSM 20469"
"BACT_1494","Staphylococcus aureus subsp. aureus ATCC 51811"
"BACT_1231","Vibrio harveyi ATCC BAA-1116 "
"BACT_520","Erwinia carotovora subsp. atroseptica SCRI1043"
"BACT_1518","Streptococcus suis 05HAS68"
"BACT_1519","Streptomyces clavuligerus ATCC 27064"
"BACT_685","Lactobacillus ultunensis DSM 16047 "
"BACT_1162","Synechococcus sp. WH 7805 "
"BACT_728","Mannheimia succiniciproducens MBEL55E"
"BACT_704","Limnobacter sp. MED105 "
"BACT_661","Lactobacillus antri DSM 16041 "
"BACT_395","Clostridium leptum DSM 753 "
"BACT_1021","Ruminococcus gnavus ATCC 29149 "
"BACT_725","Magnetospirillum magneticum AMB-1"
"BACT_216","Bifidobacterium gallicum DSM 20093 "
"BACT_743","Mesorhizobium opportunistum WSM2075 "
"BACT_269","Burkholderia dolosa AUO158"
"BACT_1291","Acidobacterium sp. MP5ACTX9"
"BACT_312","Candidatus Desulforudis audaxviator MP104C"
"BACT_333","Catenulispora acidiphila DSM 44928"
"BACT_1535","Xanthomonas fuscans subsp. aurantifolii str. ICPB 11122"
"BACT_1424","Lysinibacillus fusiformis ZC1"
"BACT_1158","Synechococcus sp. RS9916"
"BACT_558","Francisella tularensis subsp. novicida U112"
"BACT_1591","Herbaspirillum seropedicae SmR1"
"BACT_807","Neisseria meningitidis MC58"
"BACT_365","Citrobacter koseri ATCC BAA-895"
"BACT_1260","Xanthomonas campestris pv. musacearum NCPPB4381"
"BACT_1544","Anaplasma centrale str. Israel"
"BACT_1035","Salmonella enterica subsp. enterica serovar Dublin str. CT_02021853"
"BACT_982","Rhodopseudomonas palustris HaA2"
"BACT_1320","Bacteroides vulgatus PC510"
"BACT_1363","Escherichia coli B185"
"BACT_891","Porphyromonas uenonis 60-3 "
"BACT_349","Chlorobaculum parvum NCIB 8327"
"BACT_1154","Synechococcus sp. JA-3-3Ab"
"BACT_944","Psychrobacter sp. PRwf-1"
"BACT_1271","Yersinia intermedia ATCC 29909"
"BACT_1218","Vibrio alginolyticus 12G01"
"BACT_787","Mycoplasma arthritidis 158L3-1"
"BACT_195","Bacteroides thetaiotaomicron VPI-5482"
"BACT_940","Pseudomonas syringae pv. tomato T1"
"BACT_17","Acidovorax delafieldii 2AN"
"BACT_638","Hoeflea phototrophica DFL-43 "
"BACT_1617","Prevotella ruminicola 23"
"BACT_1128","Streptomyces griseus subsp. griseus NBRC 13350"
"BACT_1373","Escherichia coli MS 175-1"
"BACT_1188","Thermosipho africanus TCF52B"
"BACT_193","Bacteroides dorei 5_1_36/D4"
"BACT_1004","Roseiflexus sp. RS-1"
"BACT_1463","Propionibacterium acnes J165"
"BACT_2","Burkholderia pseudomallei 305"
"BACT_1343","Cylindrospermopsis raciborskii CS-505"
"BACT_909","Prochlorococcus marinus subsp. pastoris str. CCMP1986"
"BACT_83","Arthrobacter chlorophenolicus A6"
"BACT_757","Methylophaga thiooxidans DMS010 "
"BACT_738","Mariprofundus ferrooxydans PV-1 "
"BACT_513","Enterococcus faecalis HH22"
"BACT_1582","Enterobacter cloacae subsp. cloacae ATCC 13047"
"BACT_34","Actinobacillus pleuropneumoniae serovar 1 str. 4074"
"BACT_1258","Xanthomonas axonopodis pv. citri str. 306"
"BACT_1209","Uncultured Termite group 1 bacterium phylotype Rs-D17"
"BACT_1259","Xanthomonas campestris pv. campestris str. 8004"
"BACT_370","Clostridium acetobutylicum ATCC 824"
"BACT_1217","Verrucomicrobium spinosum DSM 4136 "
"BACT_618","Haemophilus influenzae R2866 "
"BACT_3","Hydrogenivirga sp. 128-5-R1-1"
"BACT_736","Marinobacter aquaeolei VT8"
"BACT_867","Pelobacter propionicus DSM 2379"
"BACT_1206","Trichodesmium erythraeum IMS101"
"BACT_612","Granulicatella adiacens ATCC 49175"
"BACT_957","Rhizobium etli 8C-3 "
"BACT_794","Mycoplasma penetrans HF-2"
"BACT_660","Labrenzia alexandrii DFL-11"
"BACT_1334","Chlamydia trachomatis L2tet1"
"BACT_1078","Slackia heliotrinireducens DSM 20476"
"BACT_1493","Staphylococcus aureus subsp. aureus A017934/97"
"BACT_659","Labrenzia aggregata IAM 12614 "
"BACT_298","Campylobacter upsaliensis RM3195 "
"BACT_905","Prochlorococcus marinus str. MIT 9313"
